name,email,phone,status,probability,dealValue,currency,scoreIA
Antoine Simon,antoine.simon1@leads.com,0736238264,LOST,81,32645,USD,68
Paul Dupont,paul.dupont2@leads.com,0732185168,NEW,53,10323,USD,57
Jean Leroy,jean.leroy3@leads.com,0769781556,NEW,72,32933,USD,28
Antoine Bernard,antoine.bernard4@leads.com,0790921735,LOST,22,28254,USD,34
Antoine Laurent,antoine.laurent5@leads.com,0787688166,QUALIFIED,87,39988,USD,66
Thomas Garcia,thomas.garcia6@leads.com,0755461792,LOST,48,31507,USD,68
Jean Lefebvre,jean.lefebvre7@leads.com,0778227805,NEW,75,25763,USD,59
Celine Bernard,celine.bernard8@leads.com,0794091353,CONTACTED,69,46357,USD,18
Nicolas Bernard,nicolas.bernard9@leads.com,0721906109,QUALIFIED,25,6044,USD,81
Thomas Michel,thomas.michel10@leads.com,0797746219,LOST,43,46512,USD,46
Sophie Martin,sophie.martin11@leads.com,0754472700,NEW,35,35878,USD,60
Sophie Michel,sophie.michel12@leads.com,0767456845,NEW,62,47174,USD,36
Antoine Leroy,antoine.leroy13@leads.com,0756186216,QUALIFIED,39,49652,USD,23
Antoine Lefebvre,antoine.lefebvre14@leads.com,0738382925,CONTACTED,51,15862,USD,86
Paul Leroy,paul.leroy15@leads.com,0764641139,CONTACTED,75,22511,USD,15
Emma Dupont,emma.dupont16@leads.com,0722805045,QUALIFIED,14,8454,USD,68
Paul Leroy,paul.leroy17@leads.com,0721715222,NEW,63,31985,USD,40
Sophie Laurent,sophie.laurent18@leads.com,0774926285,LOST,84,14598,USD,79
Marie Martin,marie.martin19@leads.com,0734178389,CONTACTED,76,28066,USD,88
Sophie Bernard,sophie.bernard20@leads.com,0786362648,NEW,54,38031,USD,37
Antoine Simon,antoine.simon21@leads.com,0733573275,QUALIFIED,10,24184,USD,55
Thomas Michel,thomas.michel22@leads.com,0738814926,NEW,29,2717,USD,23
Julie Moreau,julie.moreau23@leads.com,0747242562,CONTACTED,39,14750,USD,81
Claire Martin,claire.martin24@leads.com,0768334014,LOST,37,40678,USD,46
Paul Dupont,paul.dupont25@leads.com,0711233973,NEW,55,47082,USD,78
Sophie Martin,sophie.martin26@leads.com,0798893509,NEW,16,24783,USD,60
Luc Dupont,luc.dupont27@leads.com,0781067873,NEW,75,18166,USD,77
Celine Michel,celine.michel28@leads.com,0782534151,LOST,68,8664,USD,69
Sophie Leroy,sophie.leroy29@leads.com,0732762301,NEW,75,43793,USD,94
Thomas Michel,thomas.michel30@leads.com,0791661843,LOST,52,23691,USD,48
Luc Martin,luc.martin31@leads.com,0720561906,QUALIFIED,68,24506,USD,41
Julie Bernard,julie.bernard32@leads.com,0758806566,NEW,39,12584,USD,26
Julie David,julie.david33@leads.com,0798996471,NEW,90,42056,USD,71
Luc Lefebvre,luc.lefebvre34@leads.com,0711151080,CONTACTED,11,14430,USD,65
Celine Petit,celine.petit35@leads.com,0743181402,CONTACTED,44,47926,USD,37
Celine Simon,celine.simon36@leads.com,0744045010,NEW,46,8029,USD,59
Jean Simon,jean.simon37@leads.com,0779708008,CONTACTED,60,2908,USD,65
Claire Dupont,claire.dupont38@leads.com,0778598912,NEW,25,7749,USD,31
Nicolas David,nicolas.david39@leads.com,0796250430,NEW,74,35284,USD,50
Claire Garcia,claire.garcia40@leads.com,0763089043,CONTACTED,90,29663,USD,34
Marie Lefebvre,marie.lefebvre41@leads.com,0763404885,CONTACTED,85,11397,USD,35
Marie Laurent,marie.laurent42@leads.com,0776986988,LOST,77,36752,USD,69
Jean Garcia,jean.garcia43@leads.com,0728345728,CONTACTED,39,12288,USD,18
Marie Dupont,marie.dupont44@leads.com,0751294843,QUALIFIED,70,28771,USD,94
Emma Simon,emma.simon45@leads.com,0787598558,CONTACTED,36,33824,USD,92
Thomas Leroy,thomas.leroy46@leads.com,0792397008,NEW,81,40838,USD,71
Julie Moreau,julie.moreau47@leads.com,0727412967,CONTACTED,55,7550,USD,87
Nicolas Michel,nicolas.michel48@leads.com,0792209296,CONTACTED,82,34421,USD,51
